Alameda County	 	 	 	 	 	 	 	 
Alameda	94501	29	20.8%	$671,500	8.3%	$2,510,000	$506	27.6%
Alameda	94502	6	-25.0%	$647,500	12.3%	$895,000	$508	20.1%
Albany	94706	3	-72.7%	$820,000	115.8%	$935,000	$976	65.2%
Berkeley	94702	8	-20.0%	$725,000	30.8%	$1,087,000	$613	48.9%
Berkeley	94703	3	-66.7%	$660,000	10.9%	$835,000	$384	-15.6%
Berkeley	94704	1	n/a	$1,125,000	n/a	$1,125,000	$412	n/a
Berkeley	94705	3	0.0%	$675,000	-32.2%	$1,850,000	$614	-16.1%
Berkeley	94707	4	-50.0%	$1,000,000	16.6%	$1,261,000	$570	9.0%
Berkeley	94708	5	-28.6%	$860,000	-3.1%	$1,300,000	$434	-17.3%
Berkeley	94709	0	n/a	n/a	n/a	n/a	n/a	n/a
Berkeley	94710	0	n/a	n/a	n/a	n/a	n/a	n/a
Castro Valley	94546	30	15.4%	$525,500	9.6%	$808,000	$385	10.8%
Castro Valley	94552	9	12.5%	$772,500	28.2%	$1,100,000	$363	2.1%
Dublin	94568	63	21.2%	$800,750	18.6%	$1,537,000	$396	4.5%
Emeryville	94608	21	-48.8%	$480,000	43.3%	$875,000	$477	18.0%
Fremont	94536	40	-14.9%	$605,000	16.3%	$1,048,000	$441	9.1%
Fremont	94538	27	-35.7%	$590,000	-2.9%	$898,000	$520	24.5%
Fremont	94539	28	3.7%	$1,045,250	24.4%	$2,900,000	$625	21.6%
Fremont	94555	23	-4.2%	$682,500	6.8%	$1,210,000	$420	3.2%
Hayward	94541	40	2.6%	$381,000	-7.1%	$730,000	$340	33.7%
Hayward	94542	15	15.4%	$872,500	40.0%	$2,275,000	$336	19.6%
Hayward	94544	37	-9.8%	$410,000	3.8%	$655,000	$334	12.9%
Hayward	94545	16	-40.7%	$407,500	2.2%	$625,000	$363	23.0%
Livermore	94550	34	0.0%	$652,500	18.8%	$1,585,000	$388	15.1%
Livermore	94551	36	-14.3%	$568,500	7.8%	$775,000	$379	11.0%
Newark	94560	29	-12.1%	$561,000	11.8%	$900,000	$367	6.4%
Oakland	94601	11	-38.9%	$340,000	27.7%	$530,000	$256	11.3%
Oakland	94602	10	-47.4%	$687,500	7.8%	$1,150,000	$453	33.6%
Oakland	94603	14	-50.0%	$240,000	10.3%	$419,000	$188	-5.9%
Oakland	94605	38	2.7%	$409,500	41.2%	$1,250,000	$299	44.8%
Oakland	94606	17	240.0%	$350,000	25.0%	$688,000	$343	45.8%
Oakland	94607	17	-32.0%	$352,000	8.3%	$602,500	$346	28.7%
Oakland	94609	7	250.0%	$695,000	37.4%	$940,000	$423	4.9%
Oakland	94610	15	-28.6%	$410,000	-31.8%	$1,518,000	$491	5.5%
Oakland	94612	3	-50.0%	$440,000	-8.3%	$524,500	n/a	n/a
Oakland	94618	9	28.6%	$703,500	-49.0%	$1,199,000	$558	3.5%
Oakland	94619	20	11.1%	$422,500	8.6%	$1,150,000	$339	-5.5%
Oakland	94621	12	-20.0%	$217,500	20.8%	$360,000	$199	19.5%
Piedmont	94611	24	-11.1%	$854,000	-0.7%	$4,050,000	$491	24.0%
Pleasanton	94566	12	-42.9%	$834,000	-5.1%	$1,280,000	$448	2.3%
Pleasanton	94588	15	-21.1%	$734,250	5.1%	$1,969,000	$445	10.1%
San Leandro	94577	23	-23.3%	$441,000	10.5%	$690,000	$352	15.3%
San Leandro	94578	16	6.7%	$455,000	15.8%	$521,500	$361	34.8%
San Leandro	94579	13	18.2%	$435,000	-1.2%	$550,000	$350	13.0%
San Lorenzo	94580	18	28.6%	$446,500	17.8%	$520,000	$355	6.7%
Union City	94587	39	18.2%	$570,000	7.5%	$817,000	$400	17.7%
 	 	 	 	 	 	 	 	 
Contra Costa County	 	 	 	 	 	 	 	 
Alamo	94507	7	-41.7%	$1,350,000	-4.1%	$2,060,000	$471	27.8%
Antioch	94509	61	-9.0%	$255,000	4.2%	$420,000	$175	10.3%
Antioch	94531	77	20.3%	$352,500	17.0%	$540,000	$160	1.3%
Brentwood	94513	74	-30.2%	$456,750	7.5%	$843,000	$195	6.6%
